country,iso_code,year,raw_value,technology,capacity_mw,source
Afghanistan,AFG,2015,0.019090999,Solar PV,19.090999,OWID_IRENA
Afghanistan,AFG,2016,0.02116,Solar PV,21.16,OWID_IRENA
Afghanistan,AFG,2017,0.023301,Solar PV,23.301,OWID_IRENA
Afghanistan,AFG,2018,0.023076,Solar PV,23.076,OWID_IRENA
Afghanistan,AFG,2019,0.052591003,Solar PV,52.591003,OWID_IRENA
Afghanistan,AFG,2020,0.052013002,Solar PV,52.013002,OWID_IRENA
Afghanistan,AFG,2021,0.052186,Solar PV,52.186,OWID_IRENA
Afghanistan,AFG,2022,0.053956002,Solar PV,53.956002000000005,OWID_IRENA
Afghanistan,AFG,2023,0.053956002,Solar PV,53.956002000000005,OWID_IRENA
Afghanistan,AFG,2024,0.053956002,Solar PV,53.956002000000005,OWID_IRENA
Albania,ALB,2015,0.00105,Solar PV,1.05,OWID_IRENA
Albania,ALB,2016,0.001,Solar PV,1.0,OWID_IRENA
Albania,ALB,2017,0.001,Solar PV,1.0,OWID_IRENA
Albania,ALB,2018,0.001,Solar PV,1.0,OWID_IRENA
Albania,ALB,2019,0.014,Solar PV,14.0,OWID_IRENA
Albania,ALB,2020,0.021,Solar PV,21.0,OWID_IRENA
Albania,ALB,2021,0.023,Solar PV,23.0,OWID_IRENA
Albania,ALB,2022,0.10014,Solar PV,100.14,OWID_IRENA
Albania,ALB,2023,0.20673399,Solar PV,206.73399,OWID_IRENA
Albania,ALB,2024,0.306734,Solar PV,306.734,OWID_IRENA
Algeria,DZA,2015,0.061740004,Solar PV,61.740004,OWID_IRENA
Algeria,DZA,2016,0.26174,Solar PV,261.73999999999995,OWID_IRENA
Algeria,DZA,2017,0.35474002,Solar PV,354.74002,OWID_IRENA
Algeria,DZA,2018,0.36674002,Solar PV,366.74002,OWID_IRENA
Algeria,DZA,2019,0.36674002,Solar PV,366.74002,OWID_IRENA
Algeria,DZA,2020,0.36674002,Solar PV,366.74002,OWID_IRENA
Algeria,DZA,2021,0.36674002,Solar PV,366.74002,OWID_IRENA
Algeria,DZA,2022,0.4508,Solar PV,450.79999999999995,OWID_IRENA
Algeria,DZA,2023,0.4618,Solar PV,461.8,OWID_IRENA
Algeria,DZA,2024,0.4618,Solar PV,461.8,OWID_IRENA
American Samoa,ASM,2015,0.002416,Solar PV,2.4160000000000004,OWID_IRENA
American Samoa,ASM,2016,0.00392,Solar PV,3.92,OWID_IRENA
American Samoa,ASM,2017,0.00427,Solar PV,4.2700000000000005,OWID_IRENA
American Samoa,ASM,2018,0.0051599997,Solar PV,5.1599997,OWID_IRENA
American Samoa,ASM,2019,0.00481,Solar PV,4.81,OWID_IRENA
American Samoa,ASM,2020,0.00481,Solar PV,4.81,OWID_IRENA
American Samoa,ASM,2021,0.00481,Solar PV,4.81,OWID_IRENA
American Samoa,ASM,2022,0.0071099997,Solar PV,7.1099997,OWID_IRENA
American Samoa,ASM,2023,0.0071099997,Solar PV,7.1099997,OWID_IRENA
American Samoa,ASM,2024,0.0071099997,Solar PV,7.1099997,OWID_IRENA
Andorra,AND,2015,0.00022599999,Solar PV,0.22599999,OWID_IRENA
Andorra,AND,2016,0.00024400001,Solar PV,0.24400001000000002,OWID_IRENA
Andorra,AND,2017,0.000489,Solar PV,0.48899999999999993,OWID_IRENA
