country,iso_code,year,raw_value,technology,capacity_mw,source
Australia,AUS,2015,0.1,Geothermal,0.1,OWID_IRENA
Australia,AUS,2016,0.1,Geothermal,0.1,OWID_IRENA
Australia,AUS,2017,0.1,Geothermal,0.1,OWID_IRENA
Australia,AUS,2018,0.1,Geothermal,0.1,OWID_IRENA
Australia,AUS,2019,0.1,Geothermal,0.1,OWID_IRENA
Australia,AUS,2020,0.1,Geothermal,0.1,OWID_IRENA
Australia,AUS,2021,0.1,Geothermal,0.1,OWID_IRENA
Australia,AUS,2022,0.1,Geothermal,0.1,OWID_IRENA
Australia,AUS,2023,0.1,Geothermal,0.1,OWID_IRENA
Australia,AUS,2024,0.1,Geothermal,0.1,OWID_IRENA
Austria,AUT,2015,0.915,Geothermal,0.915,OWID_IRENA
Austria,AUT,2016,0.924,Geothermal,0.924,OWID_IRENA
Austria,AUT,2017,0.915,Geothermal,0.915,OWID_IRENA
Austria,AUT,2018,0.915,Geothermal,0.915,OWID_IRENA
Austria,AUT,2019,0.915,Geothermal,0.915,OWID_IRENA
Austria,AUT,2020,0.915,Geothermal,0.915,OWID_IRENA
Austria,AUT,2021,0.25,Geothermal,0.25,OWID_IRENA
Austria,AUT,2022,0.25,Geothermal,0.25,OWID_IRENA
Austria,AUT,2023,0.25,Geothermal,0.25,OWID_IRENA
Austria,AUT,2024,0.25,Geothermal,0.25,OWID_IRENA
Chile,CHL,2017,24.0,Geothermal,24.0,OWID_IRENA
Chile,CHL,2018,39.7,Geothermal,39.7,OWID_IRENA
Chile,CHL,2019,39.7,Geothermal,39.7,OWID_IRENA
Chile,CHL,2020,39.7,Geothermal,39.7,OWID_IRENA
Chile,CHL,2021,51.4,Geothermal,51.4,OWID_IRENA
Chile,CHL,2022,83.37,Geothermal,83.37,OWID_IRENA
Chile,CHL,2023,83.58,Geothermal,83.58,OWID_IRENA
Chile,CHL,2024,83.58,Geothermal,83.58,OWID_IRENA
China,CHN,2015,25.75,Geothermal,25.75,OWID_IRENA
China,CHN,2016,25.75,Geothermal,25.75,OWID_IRENA
China,CHN,2017,25.75,Geothermal,25.75,OWID_IRENA
China,CHN,2018,25.75,Geothermal,25.75,OWID_IRENA
China,CHN,2019,25.75,Geothermal,25.75,OWID_IRENA
China,CHN,2020,25.75,Geothermal,25.75,OWID_IRENA
China,CHN,2021,25.75,Geothermal,25.75,OWID_IRENA
China,CHN,2022,25.75,Geothermal,25.75,OWID_IRENA
China,CHN,2023,25.75,Geothermal,25.75,OWID_IRENA
China,CHN,2024,25.75,Geothermal,25.75,OWID_IRENA
Costa Rica,CRI,2015,217.361,Geothermal,217.361,OWID_IRENA
Costa Rica,CRI,2016,206.86,Geothermal,206.86,OWID_IRENA
Costa Rica,CRI,2017,206.86,Geothermal,206.86,OWID_IRENA
Costa Rica,CRI,2018,206.86,Geothermal,206.86,OWID_IRENA
Costa Rica,CRI,2019,261.86,Geothermal,261.86,OWID_IRENA
Costa Rica,CRI,2020,261.86,Geothermal,261.86,OWID_IRENA
Costa Rica,CRI,2021,258.84,Geothermal,258.84,OWID_IRENA
Costa Rica,CRI,2022,262.66,Geothermal,262.66,OWID_IRENA
Costa Rica,CRI,2023,262.66,Geothermal,262.66,OWID_IRENA
Costa Rica,CRI,2024,262.66,Geothermal,262.66,OWID_IRENA
Croatia,HRV,2018,10.0,Geothermal,10.0,OWID_IRENA
Croatia,HRV,2019,10.0,Geothermal,10.0,OWID_IRENA
Croatia,HRV,2020,10.0,Geothermal,10.0,OWID_IRENA
Croatia,HRV,2021,10.0,Geothermal,10.0,OWID_IRENA
Croatia,HRV,2022,10.0,Geothermal,10.0,OWID_IRENA
Croatia,HRV,2023,10.0,Geothermal,10.0,OWID_IRENA
Croatia,HRV,2024,10.0,Geothermal,10.0,OWID_IRENA
El Salvador,SLV,2015,204.44,Geothermal,204.44,OWID_IRENA
El Salvador,SLV,2016,204.44,Geothermal,204.44,OWID_IRENA
El Salvador,SLV,2017,204.44,Geothermal,204.44,OWID_IRENA
El Salvador,SLV,2018,204.44,Geothermal,204.44,OWID_IRENA
El Salvador,SLV,2019,204.44,Geothermal,204.44,OWID_IRENA
El Salvador,SLV,2020,204.44,Geothermal,204.44,OWID_IRENA
El Salvador,SLV,2021,204.44,Geothermal,204.44,OWID_IRENA
El Salvador,SLV,2022,204.44,Geothermal,204.44,OWID_IRENA
El Salvador,SLV,2023,209.4,Geothermal,209.4,OWID_IRENA
El Salvador,SLV,2024,209.4,Geothermal,209.4,OWID_IRENA
Ethiopia,ETH,2015,7.3,Geothermal,7.3,OWID_IRENA
Ethiopia,ETH,2016,7.3,Geothermal,7.3,OWID_IRENA
Ethiopia,ETH,2017,7.3,Geothermal,7.3,OWID_IRENA
Ethiopia,ETH,2018,7.3,Geothermal,7.3,OWID_IRENA
Ethiopia,ETH,2019,7.3,Geothermal,7.3,OWID_IRENA
Ethiopia,ETH,2020,7.3,Geothermal,7.3,OWID_IRENA
Ethiopia,ETH,2021,7.3,Geothermal,7.3,OWID_IRENA
Ethiopia,ETH,2022,7.3,Geothermal,7.3,OWID_IRENA
Ethiopia,ETH,2023,7.3,Geothermal,7.3,OWID_IRENA
Ethiopia,ETH,2024,7.3,Geothermal,7.3,OWID_IRENA
France,FRA,2015,14.75,Geothermal,14.75,OWID_IRENA
France,FRA,2016,16.15,Geothermal,16.15,OWID_IRENA
France,FRA,2017,16.15,Geothermal,16.15,OWID_IRENA
France,FRA,2018,16.15,Geothermal,16.15,OWID_IRENA
France,FRA,2019,16.15,Geothermal,16.15,OWID_IRENA
France,FRA,2020,16.15,Geothermal,16.15,OWID_IRENA
France,FRA,2021,16.15,Geothermal,16.15,OWID_IRENA
France,FRA,2022,16.15,Geothermal,16.15,OWID_IRENA
France,FRA,2023,16.15,Geothermal,16.15,OWID_IRENA
France,FRA,2024,16.15,Geothermal,16.15,OWID_IRENA
Germany,DEU,2015,29.0,Geothermal,29.0,OWID_IRENA
Germany,DEU,2016,33.0,Geothermal,33.0,OWID_IRENA
Germany,DEU,2017,32.0,Geothermal,32.0,OWID_IRENA
Germany,DEU,2018,35.0,Geothermal,35.0,OWID_IRENA
Germany,DEU,2019,40.0,Geothermal,40.0,OWID_IRENA
Germany,DEU,2020,40.0,Geothermal,40.0,OWID_IRENA
Germany,DEU,2021,46.0,Geothermal,46.0,OWID_IRENA
Germany,DEU,2022,52.0,Geothermal,52.0,OWID_IRENA
Germany,DEU,2023,52.0,Geothermal,52.0,OWID_IRENA
Germany,DEU,2024,44.0,Geothermal,44.0,OWID_IRENA
Guadeloupe,GLP,2015,14.5,Geothermal,14.5,OWID_IRENA
Guadeloupe,GLP,2016,15.0,Geothermal,15.0,OWID_IRENA
Guadeloupe,GLP,2017,15.0,Geothermal,15.0,OWID_IRENA
Guadeloupe,GLP,2018,14.7,Geothermal,14.7,OWID_IRENA
Guadeloupe,GLP,2019,14.5,Geothermal,14.5,OWID_IRENA
Guadeloupe,GLP,2020,14.5,Geothermal,14.5,OWID_IRENA
Guadeloupe,GLP,2021,14.5,Geothermal,14.5,OWID_IRENA
Guadeloupe,GLP,2022,14.5,Geothermal,14.5,OWID_IRENA
Guadeloupe,GLP,2023,14.5,Geothermal,14.5,OWID_IRENA
Guadeloupe,GLP,2024,14.5,Geothermal,14.5,OWID_IRENA
Guatemala,GTM,2015,49.2,Geothermal,49.2,OWID_IRENA
Guatemala,GTM,2016,49.2,Geothermal,49.2,OWID_IRENA
Guatemala,GTM,2017,49.2,Geothermal,49.2,OWID_IRENA
Guatemala,GTM,2018,49.2,Geothermal,49.2,OWID_IRENA
Guatemala,GTM,2019,52.0,Geothermal,52.0,OWID_IRENA
Guatemala,GTM,2020,49.2,Geothermal,49.2,OWID_IRENA
Guatemala,GTM,2021,49.2,Geothermal,49.2,OWID_IRENA
Guatemala,GTM,2022,49.2,Geothermal,49.2,OWID_IRENA
Guatemala,GTM,2023,49.2,Geothermal,49.2,OWID_IRENA
Guatemala,GTM,2024,49.2,Geothermal,49.2,OWID_IRENA
Honduras,HND,2017,35.0,Geothermal,35.0,OWID_IRENA
Honduras,HND,2018,35.0,Geothermal,35.0,OWID_IRENA
Honduras,HND,2019,35.0,Geothermal,35.0,OWID_IRENA
Honduras,HND,2020,39.0,Geothermal,39.0,OWID_IRENA
Honduras,HND,2021,39.0,Geothermal,39.0,OWID_IRENA
Honduras,HND,2022,39.0,Geothermal,39.0,OWID_IRENA
Honduras,HND,2023,39.0,Geothermal,39.0,OWID_IRENA
Honduras,HND,2024,39.0,Geothermal,39.0,OWID_IRENA
Hungary,HUN,2017,3.0,Geothermal,3.0,OWID_IRENA
Hungary,HUN,2018,3.0,Geothermal,3.0,OWID_IRENA
Hungary,HUN,2019,3.0,Geothermal,3.0,OWID_IRENA
Hungary,HUN,2020,3.0,Geothermal,3.0,OWID_IRENA
Hungary,HUN,2021,3.0,Geothermal,3.0,OWID_IRENA
Hungary,HUN,2022,3.0,Geothermal,3.0,OWID_IRENA
Hungary,HUN,2023,3.0,Geothermal,3.0,OWID_IRENA
Hungary,HUN,2024,3.0,Geothermal,3.0,OWID_IRENA
Iceland,ISL,2015,665.0,Geothermal,665.0,OWID_IRENA
Iceland,ISL,2016,665.0,Geothermal,665.0,OWID_IRENA
Iceland,ISL,2017,709.958,Geothermal,709.958,OWID_IRENA
Iceland,ISL,2018,755.558,Geothermal,755.558,OWID_IRENA
Iceland,ISL,2019,755.558,Geothermal,755.558,OWID_IRENA
Iceland,ISL,2020,756.158,Geothermal,756.158,OWID_IRENA
Iceland,ISL,2021,756.208,Geothermal,756.208,OWID_IRENA
Iceland,ISL,2022,757.58,Geothermal,757.58,OWID_IRENA
Iceland,ISL,2023,787.58,Geothermal,787.58,OWID_IRENA
Iceland,ISL,2024,787.58,Geothermal,787.58,OWID_IRENA
Indonesia,IDN,2015,1438.3,Geothermal,1438.3,OWID_IRENA
Indonesia,IDN,2016,1533.3,Geothermal,1533.3,OWID_IRENA
Indonesia,IDN,2017,1808.3,Geothermal,1808.3,OWID_IRENA
Indonesia,IDN,2018,1948.3,Geothermal,1948.3,OWID_IRENA
Indonesia,IDN,2019,2130.7,Geothermal,2130.7,OWID_IRENA
Indonesia,IDN,2020,2130.7,Geothermal,2130.7,OWID_IRENA
Indonesia,IDN,2021,2286.05,Geothermal,2286.05,OWID_IRENA
Indonesia,IDN,2022,2360.33,Geothermal,2360.33,OWID_IRENA
Indonesia,IDN,2023,2597.51,Geothermal,2597.51,OWID_IRENA
Indonesia,IDN,2024,2638.8,Geothermal,2638.8,OWID_IRENA
Italy,ITA,2015,768.0,Geothermal,768.0,OWID_IRENA
Italy,ITA,2016,767.0,Geothermal,767.0,OWID_IRENA
Italy,ITA,2017,767.19,Geothermal,767.19,OWID_IRENA
Italy,ITA,2018,767.19,Geothermal,767.19,OWID_IRENA
Italy,ITA,2019,767.19,Geothermal,767.19,OWID_IRENA
Italy,ITA,2020,771.79,Geothermal,771.79,OWID_IRENA
Italy,ITA,2021,771.79,Geothermal,771.79,OWID_IRENA
Italy,ITA,2022,771.79,Geothermal,771.79,OWID_IRENA
Italy,ITA,2023,771.79,Geothermal,771.79,OWID_IRENA
Italy,ITA,2024,771.79,Geothermal,771.79,OWID_IRENA
Japan,JPN,2015,516.0,Geothermal,516.0,OWID_IRENA
Japan,JPN,2016,526.0,Geothermal,526.0,OWID_IRENA
Japan,JPN,2017,471.366,Geothermal,471.366,OWID_IRENA
Japan,JPN,2018,473.115,Geothermal,473.115,OWID_IRENA
Japan,JPN,2019,480.714,Geothermal,480.714,OWID_IRENA
Japan,JPN,2020,487.004,Geothermal,487.004,OWID_IRENA
Japan,JPN,2021,486.814,Geothermal,486.814,OWID_IRENA
Japan,JPN,2022,436.814,Geothermal,436.814,OWID_IRENA
Japan,JPN,2023,456.054,Geothermal,456.054,OWID_IRENA
Japan,JPN,2024,489.054,Geothermal,489.054,OWID_IRENA
Kenya,KEN,2015,618.9,Geothermal,618.9,OWID_IRENA
Kenya,KEN,2016,652.9,Geothermal,652.9,OWID_IRENA
Kenya,KEN,2017,672.9,Geothermal,672.9,OWID_IRENA
Kenya,KEN,2018,683.8,Geothermal,683.8,OWID_IRENA
Kenya,KEN,2019,683.8,Geothermal,683.8,OWID_IRENA
Kenya,KEN,2020,863.13,Geothermal,863.13,OWID_IRENA
Kenya,KEN,2021,863.13,Geothermal,863.13,OWID_IRENA
Kenya,KEN,2022,949.73,Geothermal,949.73,OWID_IRENA
Kenya,KEN,2023,984.73,Geothermal,984.73,OWID_IRENA
